gene_id,value,argument,description,primary
klotho,High,KL-VS cognition,Cognitive enhancement via KL-VS variant,false
afp_fish,Medium-High,cryopreservation,,true
cirbp,Medium-High,,,true
klotho,High,mouse lifespan,Single study in mice,true
aqp1,N/A,species-specific enhancement,Enhancement is species-specific; not directly translatable,false
mb_seal,Low,translational/lifespan,,false
chrna1_mongoose,Medium,human base editing,No CRISPR/base-editing demonstration yet; natural variants only,
apoe_edit,High,,,true
smedwi,High,planarian requirement,Essential for planarian regeneration,true
mb_seal,Medium,ZMb mechanism,,true
cbp_gecko,High,source biology,,true
masp1,Low-Medium,human tissue expression,No human tissue expression; spinning requires shear forces not available in vivo,
reflectin,Medium-High,narrow claim,,true
pot1_turritopsis,Low,rejuvenation translation,Poor translational outlook for rejuvenation,false
epas1_tibetan,Medium,single causal variant unmapped,Specific causal variant not yet identified,false
fluc,High,autonomous plants,,false
cry4a_robin,Medium,biochem,,true
aqp1,High,mammalian baseline,Well-established mammalian aquaporin biology,true
pcsk9_edit,High,,,true
afp_fish,Low-Medium,frost-tolerance crops,,false
tps_pv,Medium-High,,,true
tmc1,High,hearing restoration,Multiple independent mouse gene therapy studies; clinical pipeline active,
resilin,Medium,biomaterial properties,90-97% resilience demonstrated in recombinant material; active tissue engineering R&D,
cpdp_potoroo,Medium-High,human mRNA delivery,Marsupial photolyase mRNA functional in human keratinocytes (Boros 2013),
reflectin,Low,mammalian camouflage translation,,false
melanin_pathway,Medium,"tyrosinase-CHO, single study",,false
rbm3,High,neuroprotection in mouse,Nature 2015 with survival data in two disease models,
trpa1_viper,Medium,full behavioral IR mapping,,false
mgmt_p140k,High,"feasibility, safety",,true
piezo2,High,mechanosensation biology,2021 Nobel Prize for Piezo discovery; human LOF mutations confirm essential role in touch/proprioception,
kcnma1_skate,Low,electroreception transfer,Completely novel sensory modality; no mammalian neural circuitry exists,
cltx,Very High,tumor targeting,Phase I/II human clinical trials completed; FDA orphan drug designation,
sws1_bird,Medium,spectral tuning mechanism,Well-characterized 2-3 aa substitution mechanism; no mammalian in-vivo test of UV-shifted opsin,
